comment_id,body,rating
UgztP4lVR-Epv5HlSXN4AaABAg,stretched past  minute mark ad revenue se,0
Ugw3sxLwikkGsUza7hh4AaABAg,makes sense sold new phone nothing,0
Ugz5bQgZRZ6jTEgT0Op4AaABAg,talk damn much like get point,0
Ugx17oPE-GpTdOfXOz14AaABAg,niga fucking wasted iphone x,0
UgxfqlCvyOCXyO6Duk14AaABAg,machine scams thats there were many pop ups show thats not get seling price,0
Ugz66Aa3txAMZQTx6_N4AaABAg,scam or sum shake head not like machine,0
UgwL7IT4PTdLHXFi2LJ4AaABAg,fake replaced phone waste time click bait bs,0
UgzdVqg8weCZ54sHWNp4AaABAg,disapointed you lol actualy broke laugh,0
Ugy-zUPKIcZxUpc7NXF4AaABAg,ben ripof  dolars fake aple,0
UgyZ5LrNN1v4QH4yS-l4AaABAg,guy loks like stereotypical egocentric youtuber,0
Ugw-J8up9JtcNl12o7N4AaABAg,not gona lie prety upset got nothing iphone  but made decision myself when decided recycle rather than take back or make someones day by giving them asclown,0
UgzHtjlOCFYGwKj2wC94AaABAg,rubish vid not make things like future wasted mg damn time,0
Ugz3xJa1zH_7NDuTaYl4AaABAg,make us por folks sick our stomachs,0
UgzidyZ46pbsHFbwTPR4AaABAg,to much stupid overeaction idiot,0
Ugz1EJ6K2F0CYUX5NrN4AaABAg,not give away one  fans recognized you,0
UgxtvuN5Ay0imviXHDp4AaABAg,prety dumb even tho its not real could donated someone not have anyrhing,0
UgybLg-MOwwQ2nIKQyh4AaABAg,probably most sadest video ever sen smh straight up lied viewers tok advantage people,0
Ugyt_zYwI5GkCKUSrv94AaABAg,hes dumb omg not recycled omfg,0
UgzuZYoy8spmbKyAS3R4AaABAg,yeah am more shocked surprised than,0
UgzItB944kgeymrwSKB4AaABAg,instead recycling should give one us,0
UgzeDtn_dQWyx5TDsKB4AaABAg,not anoyed sold iphone its because faked,0
UgyqfDrwh3rt-v2R6294AaABAg,hurt heart like kil baby por thing young shouldve given smh,0
Ugw0_HuOVnQMPJyVkGp4AaABAg,dumb could gave not even phone,0
UgztTgWzeiClMQp4Xkd4AaABAg,can not fucking move around,0
UgxCigQ72-pcjQOMZ_h4AaABAg,fel acting as like fuck tard,0
UgxDoft4XV0B5pY9q-14AaABAg,waste time dumbas shouldve got back,0
UgwtH9u1tVzvbDB3pvh4AaABAg,liar used iphone  not iphone x,0
UgwkHi8FfFqozu7c4KJ4AaABAg,first video se already fake god job,0
UgwzyOax_drXWG3jOiN4AaABAg,spoiled as rich kid spends  dolars leave machine,0
UgxB5H5EFQFrasQn1pd4AaABAg,fel bad realy want iphone ,0
UgycxDfFOi_IcCnelXR4AaABAg,loser hope parents proud laugh,0
Ugxez13EeojXhaKiuZl4AaABAg,honesty think put fake one,0
UgxzcN-6VSAgxJgPffp4AaABAg,go fuck self worst utuber angry sad,0
UgweZbeXOZlKHnK1-VV4AaABAg,fuck not recycle it selfish shit,0
Ugwpm0aMXvmuDSI_DU54AaABAg,niga both phones fake foh,0
UgwpUeFY1mXn3IZgWrN4AaABAg,another mediocre loking kid trying col youtube thank you,0
Ugyt5BXifFiwb9MZPdp4AaABAg,nah nah its fake one,0
UgzA_vpwwhZA_4MuBB54AaABAg,dick head whyd waste  dolar phone,0
Ugzco8LeA2oURZFCRG94AaABAg,think stupid nef phone shake head,0
UgwNcauHhegxkkiywtJ4AaABAg,coment by portman realy stupid,0
UgzJ_an0fnX9clQs5nZ4AaABAg,fact we acknowledge strong women makes them lok realy weak,0
Ugz19c8cLf9ppgR16oV4AaABAg,bunch hypocrites where were when corie feldman talking about kind practices back days,0
UgwRKko9l6-Uge9HID14AaABAg,fuck golden globes bunch rich snobs think gona make diference,0
UgzasrBhVPKjS8mlp294AaABAg,know sure youre hypocritical bitch oprah,0
UgzFVxQx5uwyizFN05F4AaABAg,se bunch multimilionaires talking like know normal people live while these multimilionaires live their own buble,0
Ugy4ETh3mcyNrR616ft4AaABAg,your truth bulshit one time would get comited insanity the truth realy maters show cringe fest,0
UgwymaK36171vbUKLiV4AaABAg,go away old news not relevant anymore,0
Ugx-4nI4Li4zCSFQV-14AaABAg,feminism fucking joke liberal shit went overboard,0
UgyXaZaAmhhP9iq_FOl4AaABAg,worst golden globes date these highlights were shit nothing feminist bulshit,0
UgzT2U9oOAl6Lz0hzaR4AaABAg,idiots giving other idiots awards pathetic as hats,0
UgyYy7KrGRI3eumntiV4AaABAg,most memorable moment waswhen over very overated,0
UgyhZBOs80A1DSQ-9Hh4AaABAg,she makes sick her racist rants tape let them come out when she runs,0
UgzNl4rmsPvn2FEoGbB4AaABAg,globe awards total joke include oprahnothing great about garbage,0
Ugx1nW5L8HOFbhYOMC14AaABAg,know mariah loked bad as fuck,0
Ugy1fD2MIYIUCOxSw0V4AaABAg,like blm movement when bitched about black pl being nominated give few months none wil care,0
UgwqpL7exg-QNEw3pgR4AaABAg,same old star geting same old gold trash holywod suck as bal,0
UgztLoAumpAnhUAWeYd4AaABAg,celebrities politcs go together like crap pis,0
Ugwnvb3-am-k1F-2VF54AaABAg,not put tomy thumbnail if youre not gona mention him fucks,0
UgyyZWiW_-ne-mR6AkB4AaABAg,when amy poehler mentioned mansplaining knew shit would bad,0
UgxMIsN-iGBd62DemlZ4AaABAg,wtf oprah hate ugly as face,0
Ugx3WXMMjhlxQApo08h4AaABAg,can fire guy already sucks,0
Ugz_QIpO68u8IxeP9S54AaABAg,or does gets worse every night,0
UgyjxUUSRy7CW3m73bx4AaABAg,gez lawez pepa chese guy sucks,0
UgyhyZ01FZ0p5ctt2sJ4AaABAg,dude comentary fucking whackbring gus johnson or pat mcafe,0
UgzbC954NO66FxW2KxR4AaABAg,s sad other choice turn sound of watch top ,0
UgyAs323-09drbHndhZ4AaABAg,thought improving now hes troling fuck of cringementator,0
Ugx6e3ddyHB1G7AjJWJ4AaABAg,god damnit man sound like guy nobody wants invite playof ber time,0
UgxGkai6H5kfstso-o54AaABAg,holy fuck guy anoying as shit,0
Ugx-yvHv5K1sCiGiJS54AaABAg,destroyed ears his fuckin screams,0
UgxqUtdqni7i-O_RFFJ4AaABAg,imagine picks up girls not,0
UgzUc2-_ad8jQOPoQIl4AaABAg,fuck anoying as comentator hel hired him,0
UgxxCaMXyeE595OE4wd4AaABAg,video most cringe comentary by cringementator,0
UgycpSODNJe_Vi4godx4AaABAg,yal some sour as hating bitches,0
UgwLXWE4LZtmILwQ7Dl4AaABAg,guy fucken trash makes ears bled,0
UgwKJHfOm-x7OjvgmFB4AaABAg,nba troling us awful comentator,0
UgyNX3O8eFG8NtfdTEV4AaABAg,not average cringe advanced cringe,0
UgynOvWwNvh9RJQRDJ94AaABAg,god guy should shut up pls,0
Ugxoks5RrzCp4uyICrp4AaABAg,lance make em dance lance make em dance boy voice made pres dislike buton quick,0
