comment_id,video_id,date,body,rating
UgztP4lVR-Epv5HlSXN4AaABAg,ItYOdWRo0JY,2020-01-10T20:24:33Z,stretched past  minute mark ad revenue see,0
Ugw3sxLwikkGsUza7hh4AaABAg,ItYOdWRo0JY,2020-03-22T19:13:19Z,makes no sense you sold new phone nothing,0
Ugz5bQgZRZ6jTEgT0Op4AaABAg,ItYOdWRo0JY,2020-03-01T15:36:02Z,talk damn much like get point,0
UgxUfNJxwDxAOC232dV4AaABAg,ItYOdWRo0JY,2020-12-19T06:59:10Z,do you really have brain unsubscribing,0
Ugx17oPE-GpTdOfXOz14AaABAg,ItYOdWRo0JY,2020-05-04T02:13:50Z,nigga fucking wasted iphone x,0
UgxfqlCvyOCXyO6Duk14AaABAg,ItYOdWRo0JY,2020-08-19T22:51:32Z,machine scams thats why there were many pop ups show you thats why you not get selling price,0
UgymhxRXBM5z4M2iv3R4AaABAg,ItYOdWRo0JY,2020-03-19T21:49:52Z,he obviously used cuts switch shitty prepaid alcatel onetouch fuckin click bait lies,0
UgyU5IcLSIgtgjEYhGF4AaABAg,ItYOdWRo0JY,2019-10-29T18:37:21Z,fake alarm,0
UgyFWTs-FFInLr6zc9h4AaABAg,ItYOdWRo0JY,2019-12-07T17:14:13Z,what dumb fck,0
UgzqO7fls3gjpEv5lmp4AaABAg,ItYOdWRo0JY,2019-11-26T07:30:47Z,annoying,0
Ugz66Aa3txAMZQTx6_N4AaABAg,ItYOdWRo0JY,2019-11-15T04:59:18Z,scam or sum shake head not like machine,0
UgzCXd6oqEO93QWI58R4AaABAg,ItYOdWRo0JY,2019-11-05T09:17:50Z,fuckin dumbass,0
UgzZubyLG5FtZu7qlal4AaABAg,ItYOdWRo0JY,2019-08-01T15:45:49Z,big time scam,0
UgwL7IT4PTdLHXFi2LJ4AaABAg,ItYOdWRo0JY,2019-07-24T03:02:46Z,fake replaced phone waste time click bait bs,0
UgwUGEgHVDte55u3Pzd4AaABAg,ItYOdWRo0JY,2019-08-10T17:51:56Z,you talking much,0
UgyLfVwRMz5f9xSzJ1N4AaABAg,ItYOdWRo0JY,2019-08-14T07:04:05Z,spat lawn,0
UgzdVqg8weCZ54sHWNp4AaABAg,ItYOdWRo0JY,2019-09-09T08:54:14Z,im disappointed you lol actually broke laugh,0
Ugz6un_I1FU0ahY7i-p4AaABAg,ItYOdWRo0JY,2019-09-01T03:18:03Z,what scambot,0
UgzfpXZCxa7YrP0S6Jh4AaABAg,ItYOdWRo0JY,2019-08-13T01:30:46Z,why do you talk much,0
UgzvuNVuarOnb01wMbR4AaABAg,ItYOdWRo0JY,2019-07-14T05:07:29Z,wtf fucking machine,0
UgzceIPX4VnLLnFTPGZ4AaABAg,ItYOdWRo0JY,2019-07-07T03:04:23Z,mega idiot award goes you,0
Ugy-zUPKIcZxUpc7NXF4AaABAg,ItYOdWRo0JY,2019-07-10T15:50:06Z,you have been ripoff  dollars fake apple,0
Ugz4uy-JDZ94pmxkjtN4AaABAg,ItYOdWRo0JY,2019-07-09T20:54:41Z,you stupid,0
UgzSMwb88ntjkYHQYaN4AaABAg,ItYOdWRo0JY,2019-06-19T04:00:06Z,id recycle his face,0
UgwS5xQLLnyIzNUS4bp4AaABAg,ItYOdWRo0JY,2019-06-16T00:49:53Z,god dang you twat,0
Ugxy3Jv2eVWijEXl9T54AaABAg,ItYOdWRo0JY,2019-05-31T15:10:19Z,thats fucked up,0
Ugzf0iCip78s2KSesWx4AaABAg,ItYOdWRo0JY,2019-06-12T14:02:00Z, percent bullshit,0
UgyZ5LrNN1v4QH4yS-l4AaABAg,ItYOdWRo0JY,2019-05-23T20:33:10Z,guy looks like stereotypical egocentric youtuber,0
Ugxu0FCeD6iT4dtoBPJ4AaABAg,ItYOdWRo0JY,2019-06-16T19:57:06Z,fake,0
UgzERJIijVcauGfdSzt4AaABAg,ItYOdWRo0JY,2019-06-10T16:20:40Z,faker,0
Ugw-J8up9JtcNl12o7N4AaABAg,ItYOdWRo0JY,2019-05-29T21:56:29Z,not gonna lie im pretty upset got nothing iphone  but made decision myself when decided recycle rather than take back or make someones day by giving them assclown,0
Ugx_cBx6PlBzvoz0j814AaABAg,ItYOdWRo0JY,2019-05-20T17:47:52Z,yes im upset would have loved have free iphone  kid would go krazy get has adhd other disability would over work laugh,0
Ugx7k0eN0L8F87MJ5eZ4AaABAg,ItYOdWRo0JY,2019-05-11T23:45:24Z,you purchased  dollar fake,0
UgxC49Cii-xZCQnea8t4AaABAg,ItYOdWRo0JY,2019-05-08T17:07:56Z,he has punchable face,0
UgyM_aK79CyzrMJyKSx4AaABAg,ItYOdWRo0JY,2019-05-18T23:55:43Z,omg annoying,0
UgwCmnUaK3WqGICoPZN4AaABAg,ItYOdWRo0JY,2019-05-06T02:16:58Z,damn hurt me,0
UgzHtjlOCFYGwKj2wC94AaABAg,ItYOdWRo0JY,2019-04-28T15:26:24Z,rubbish vid not make things like future you wasted mg damn time,0
Ugy48bn0dnUqLEtxSG94AaABAg,ItYOdWRo0JY,2019-05-04T03:44:57Z,why though,0
Ugz3xJa1zH_7NDuTaYl4AaABAg,ItYOdWRo0JY,2019-05-19T18:51:37Z,make us poor folks sick our stomachs,0
